date,theme,num
2014-04-19,夢原のぞみ/キュアドリーム,0.0
2014-04-20,白雪ひめ/ヒメルダ・ウインドウ・キュアクイーン・オブ・ザ・ブルースカイ/キュアプリンセス,0.0
2014-04-21,バッドエンド王国,0.0
2014-04-22,♯キボウレインボウ♯(歌:池田彩),0.0
2014-04-23,東せつな/キュアパッション,0.0
2014-04-24,あなたの鏡(歌:キュアビューティ-青木れいか(西村ちなみ)),0.0
2014-04-25,黄色のプリキュア,0.0
2014-04-26,雪城ほのか/キュアホワイト,0.0
2014-04-27,円亜久里/キュアエース,0.0
2014-04-28,まかせて★スプラッシュ☆スター★(歌:うちやえゆか with Splash Stars),0.0
2014-04-29,花咲つぼみ/キュアブロッサム,0.0
2014-04-30,黒川エレン/セイレーン/キュアビート,0.0
2014-05-01,手と手つないでハートもリンク!!(歌:宮本佳那子),0.0
2014-05-02,四葉ありす/キュアロゼッタ,0.0
2014-05-03,決め技(個人技),0.0
2014-05-04,こころをこめて(歌キュアソード-剣崎真琴(宮本佳那子)),0.0
2014-05-05,赤のプリキュア・オレンジのプリキュア,0.0
2014-05-06,明堂院いつき/キュアサンシャイン,0.0
2014-05-07,日向咲/キュアブルーム/キュアブライト,0.0
2014-05-08,しあわせごはん愛の歌(キュアハニー-大森ゆうこ(北川里奈)),0.0
2014-05-09,ゲッチュウ! らぶらぶぅ?!(歌:五條真由美),0.0
2014-05-10,山吹祈里/キュアパイン,0.0
2014-05-11,ジョナサン・クロンダイク/ジョー岡田,0.0
2014-05-12,北条響/キュアメロディ,0.0
2014-05-13,お母さん,0.0
2014-05-14,黄瀬やよい/キュアピース,0.0
2014-05-15,蒼乃美希/キュアベリー,0.0
2014-05-16,ガンバランスdeダンスシリーズ(歌:五條真由美他),0.0
2014-05-17,変身,0.0
2014-05-18,星空みゆき/キュアハッピー,0.0
2014-05-19,水無月かれん/キュアアクア,0.0
2014-05-20,レジーナ,0.0
2014-05-21,九条ひかり/シャイニールミナス,0.0
2014-05-22,プリキュアオールスターズNewStageシリーズ,0.0
2014-05-23,東せつな/キュアパッション,0.0
2014-05-24,バッドエンド王国,17.0
2014-05-25,夢原のぞみ/キュアドリーム,130.0
2014-05-26,運動会(体育の授業・部活動含む),81.0
2014-05-27,剣崎真琴/キュアソード,102.0
2014-05-28,四葉ありす/キュアロゼッタ,122.0
2014-05-29,DANZEN! ふたりはプリキュア(歌:五條真由美),63.0
2014-05-30,日野あかね/キュアサニー,112.0
2014-05-31,クラスメイト(及び生徒全体),76.0
2014-06-01,妖精,106.0
2014-06-02,秋元こまち/キュアミント,87.0
2014-06-03,調辺アコ/キュアミューズ,127.0
2014-06-04,春日野うらら/キュアレモネード,104.0
